Name,Location,Price,BHK,Size,Amenities,Virtual Tour
TVH Ouranya Bay,Karapakkam,48 Crores,1 BHK,1848 sq. ft.,"Playground, Parking, Garden",https://virtualtour2.com
Adroit District S,Thoraipakkam,65 Crores,1 BHK,2165 sq. ft.,"Yoga Deck, Multipurpose Hall, 24/7 Power Backup",https://virtualtour6.com
Baashyaam Pinnacle Crest,OMR,81 Crores,4 BHK,1094 sq. ft.,"Gym, Swimming Pool, Clubhouse, Security",https://virtualtour10.com
Purva Skycondos,Perungudi,86 Crores,4 BHK,1842 sq. ft.,"Yoga Deck, Multipurpose Hall, 24/7 Power Backup",https://virtualtour2.com
Casagrand Supremus,Padur,112 Crores,2 BHK,1460 sq. ft.,"Gym, Swimming Pool, Clubhouse, Security",https://virtualtour9.com
Hiranandani Anchorage,Siruseri,101 Crores,3 BHK,952 sq. ft.,"Gym, Swimming Pool, Clubhouse, Security",https://virtualtour5.com
Lancor TCP Altura,Navalur,103 Crores,2 BHK,2024 sq. ft.,"Yoga Deck, Multipurpose Hall, 24/7 Power Backup",https://virtualtour6.com
Sobha Winchester,Sholinganallur,104 Crores,2 BHK,858 sq. ft.,"Playground, Parking, Garden",https://virtualtour4.com
Olympia Opaline,Thoraipakkam,119 Crores,3 BHK,2084 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour5.com
Casagrand Supremus,Uthandi,89 Crores,1 BHK,1106 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour3.com
L&T Eden Park,Karapakkam,53 Crores,4 BHK,2147 sq. ft.,"Playground, Parking, Garden",https://virtualtour8.com
Mantri Synergy,Navalur,111 Crores,2 BHK,2495 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour1.com
Akshaya Abov,Navalur,116 Crores,4 BHK,1269 sq. ft.,"Playground, Parking, Garden",https://virtualtour6.com
Nova Meridian,Karapakkam,51 Crores,2 BHK,1514 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour8.com
Adroit District S,OMR,100 Crores,4 BHK,1011 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour4.com
Hiranandani Anchorage,OMR,107 Crores,3 BHK,1009 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour4.com
Casagrand Supremus,OMR,80 Crores,4 BHK,1326 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour5.com
Casa Grande Elita,Padur,53 Crores,3 BHK,2040 sq. ft.,"Yoga Deck, Multipurpose Hall, 24/7 Power Backup",https://virtualtour7.com
XS Real Siena,Perungudi,61 Crores,4 BHK,2043 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour2.com
Purva Skycondos,Siruseri,77 Crores,4 BHK,2382 sq. ft.,"Playground, Parking, Garden",https://virtualtour10.com
Baashyaam Pinnacle Crest,Uthandi,83 Crores,4 BHK,2025 sq. ft.,"Yoga Deck, Multipurpose Hall, 24/7 Power Backup",https://virtualtour5.com
Olympia Opaline,Padur,113 Crores,4 BHK,878 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour5.com
DLF Gardencity,Perungudi,76 Crores,4 BHK,2322 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour8.com
Hiranandani Anchorage,Karapakkam,55 Crores,1 BHK,1365 sq. ft.,"Playground, Parking, Garden",https://virtualtour5.com
Adroit District S,Perungudi,94 Crores,3 BHK,2068 sq. ft.,"Playground, Parking, Garden",https://virtualtour8.com
DLF Gardencity,Siruseri,67 Crores,2 BHK,2458 sq. ft.,"Indoor Games, Children's Play Area, Library",https://virtualtour5.com
The Metrozone,Uthandi,63 Crores,2 BHK,1783 sq. ft.,"Sports Arena, Jogging Track, CCTV Surveillance",https://virtualtour10.com
Adroit District S,Sholinganallur,72 Crores,3 BHK,1481 sq. ft.,"Playground, Parking, Garden",https://virtualtour10.com
